model,auc_roc,avg_precision,precision,recall,f1,n_features,task,direction
CGECD-v2 RF (Ours),0.7150871832692408,0.13615852003021578,0.16103896103896104,0.7560975609756098,0.26552462526766596,31,Down >5% 10d,DOWN
CGECD-v2 Ens40 (Ours),0.5761207396091239,0.10531228816867884,0.1105072463768116,0.7439024390243902,0.19242902208201892,31,Down >5% 10d,DOWN
CGECD-v2 Ens30 (Ours),0.5788863720170678,0.10286674544349114,0.10966542750929369,0.7195121951219512,0.1903225806451613,31,Down >5% 10d,DOWN
CGECD-v2 Ens50 (Ours),0.57253858715693,0.103509798807269,0.108348134991119,0.7439024390243902,0.18914728682170542,31,Down >5% 10d,DOWN
No-spectral GBT,0.5281797460110713,0.10499795836428663,0.06818181818181818,0.14457831325301204,0.09266409266409266,20,Down >5% 10d,DOWN
No-spectral RF,0.6046434386193422,0.11032000345195891,0.1292517006802721,0.6867469879518072,0.21755725190839692,20,Down >5% 10d,DOWN
CGECD-v1 (206 feat),0.6057544371659238,0.08588704330300866,0.11413043478260869,0.31343283582089554,0.16733067729083667,206,Down >5% 10d,DOWN
Traditional RF,0.6229632041680235,0.10343406171612216,0.120817843866171,0.7831325301204819,0.20933977455716588,27,Down >5% 10d,DOWN
Turbulence RF,0.5888682106424041,0.09178772139746831,0.11728395061728394,0.48717948717948717,0.1890547263681592,5,Down >5% 10d,DOWN
HAR-RV LR,0.7249595905172413,0.20808419201597683,0.3229166666666667,0.3875,0.3522727272727273,4,Down >5% 10d,DOWN
SMA Vol LR,0.5848127645718008,0.15061810398581307,0.21008403361344538,0.30120481927710846,0.24752475247524758,9,Down >5% 10d,DOWN
CGECD-v2 GBT (Ours),0.7766163375919473,0.3813510193991638,0.40588235294117647,0.46938775510204084,0.4353312302839117,31,Extreme vol 10d,DOWN
CGECD-v2 RF (Ours),0.8148174484660299,0.4278182616615199,0.42213114754098363,0.7006802721088435,0.5268542199488491,31,Extreme vol 10d,DOWN
CGECD-v2 Ens40 (Ours),0.8337323314924111,0.4291613486881755,0.4473684210526316,0.6938775510204082,0.544,31,Extreme vol 10d,DOWN
CGECD-v2 Ens30 (Ours),0.8271271342451033,0.42589958127289335,0.40711462450592883,0.7006802721088435,0.515,31,Extreme vol 10d,DOWN
CGECD-v2 Ens50 (Ours),0.8401874106204619,0.4339971577756827,0.49019607843137253,0.6802721088435374,0.5698005698005698,31,Extreme vol 10d,DOWN
No-spectral GBT,0.7333333333333333,0.31783248596098257,0.33568904593639576,0.6333333333333333,0.43879907621247116,20,Extreme vol 10d,DOWN
No-spectral RF,0.7876223776223776,0.39258580446666225,0.423728813559322,0.5,0.4587155963302752,20,Extreme vol 10d,DOWN
CGECD-v1 (206 feat),0.7835400060131851,0.3688428325845191,0.40476190476190477,0.6335403726708074,0.49394673123486676,206,Extreme vol 10d,DOWN
Traditional RF,0.8019798868636078,0.45687102319961626,0.3860294117647059,0.7094594594594594,0.5,27,Extreme vol 10d,DOWN
Turbulence RF,0.8312444123512827,0.557250741234458,0.42424242424242425,0.8828828828828829,0.5730994152046784,5,Extreme vol 10d,DOWN
HAR-RV LR,0.6928897691903472,0.4138610109953039,0.39375,0.4405594405594406,0.4158415841584159,4,Extreme vol 10d,DOWN
SMA Vol LR,0.7125951825951826,0.43117687396726434,0.358974358974359,0.56,0.4375,9,Extreme vol 10d,DOWN
CGECD-v2 GBT (Ours),0.6570704845814976,0.17608590612123756,0.19574468085106383,0.46,0.2746268656716418,31,Vol spike 2x 10d,DOWN
CGECD-v2 RF (Ours),0.6956607929515419,0.3250662072754223,0.3333333333333333,0.39,0.35944700460829493,31,Vol spike 2x 10d,DOWN
CGECD-v2 Ens40 (Ours),0.7319493392070485,0.26170853699729635,0.2681818181818182,0.59,0.36874999999999997,31,Vol spike 2x 10d,DOWN
CGECD-v2 Ens30 (Ours),0.7206387665198238,0.2366205132364963,0.25862068965517243,0.6,0.3614457831325301,31,Vol spike 2x 10d,DOWN
CGECD-v2 Ens50 (Ours),0.7417180616740088,0.29396672803954954,0.27461139896373055,0.53,0.36177474402730375,31,Vol spike 2x 10d,DOWN
No-spectral GBT,0.6368073807863541,0.16093708032552623,0.20707070707070707,0.39805825242718446,0.2724252491694352,20,Vol spike 2x 10d,DOWN
No-spectral RF,0.6607627527758408,0.23208587100177824,0.24757281553398058,0.49514563106796117,0.3300970873786408,20,Vol spike 2x 10d,DOWN
CGECD-v1 (206 feat),0.6947599008474088,0.2954538921426348,0.26717557251908397,0.3684210526315789,0.30973451327433627,206,Vol spike 2x 10d,DOWN
Traditional RF,0.7309703406944884,0.28909204368264385,0.28651685393258425,0.504950495049505,0.3655913978494624,27,Vol spike 2x 10d,DOWN
Turbulence RF,0.5875119810321344,0.1036624703694146,0.125,0.5232558139534884,0.20179372197309417,5,Vol spike 2x 10d,DOWN
HAR-RV LR,0.6453653513189314,0.16009143639741433,0.2032967032967033,0.38144329896907214,0.26523297491039427,4,Vol spike 2x 10d,DOWN
SMA Vol LR,0.6626401330258006,0.22781388697826382,0.2619047619047619,0.42718446601941745,0.3247232472324723,9,Vol spike 2x 10d,DOWN
