groups,n_groups,n_features,auc
Correlation + Dynamics + Momentum + Topology,4,42,1.0
Eigenvalue + Momentum + Returns + Volatility,4,35,1.0
Correlation + CrossAsset + Drawdown + Momentum + Returns + Volatility,6,40,1.0
Dynamics + Momentum + Returns + Volatility,4,52,1.0
Correlation + Dynamics + Momentum + Returns + Volatility,5,58,1.0
CrossAsset + Dynamics + Momentum + Returns + Volatility,5,58,1.0
Correlation + CrossAsset + Dynamics + Momentum + Returns + Volatility,6,64,1.0
Drawdown + Dynamics + Momentum + Returns + Volatility,5,55,1.0
Correlation + Drawdown + Dynamics + Momentum + Returns + Volatility,6,61,1.0
Correlation + CrossAsset + Drawdown + Dynamics + Momentum + Returns + Volatility,7,67,1.0
Drawdown + Dynamics + Momentum + Topology + Volatility,5,52,1.0
CrossAsset + Returns + Topology + Volatility,4,26,1.0
Correlation + Drawdown + Eigenvalue + Momentum + Returns + Volatility,6,44,1.0
Drawdown + Dynamics + Eigenvalue + Returns + Topology + Volatility,6,60,1.0
Dynamics + Momentum + Topology,3,36,1.0
CrossAsset + Dynamics + Eigenvalue + Momentum + Returns + Volatility,6,68,1.0
Drawdown + Dynamics + Eigenvalue + Momentum + Returns + Volatility,6,65,1.0
CrossAsset + Dynamics + Momentum + Returns + TailRisk + Topology + Volatility,7,66,1.0
Correlation + Dynamics + Momentum + Returns + TailRisk + Topology + Volatility,7,66,1.0
Correlation + Dynamics + Momentum + Topology + Volatility,5,55,1.0
Drawdown + Dynamics + TailRisk,3,36,1.0
Correlation + CrossAsset + Momentum + Returns + Volatility,5,37,1.0
CrossAsset + Momentum + Returns + Volatility,4,31,1.0
Correlation + Momentum + Returns + Volatility,4,31,1.0
Dynamics + Eigenvalue + Momentum + Topology + Volatility,5,59,1.0
CrossAsset + Dynamics + Momentum + Returns,4,45,1.0
Correlation + Dynamics + Eigenvalue + Momentum + Topology + Volatility,6,65,1.0
Drawdown + Returns + Volatility,3,21,1.0
Correlation + Drawdown + Returns + Volatility,4,27,1.0
CrossAsset + Drawdown + Returns + Volatility,4,27,1.0
Dynamics + Returns + Volatility,3,45,1.0
Correlation + Dynamics + Returns + Volatility,4,51,1.0
Drawdown + Dynamics + Returns + Volatility,4,48,1.0
CrossAsset + Drawdown + Dynamics + Returns + Volatility,5,54,1.0
Correlation + Dynamics + Momentum + Volatility,4,53,1.0
Correlation + Drawdown + Momentum + Volatility,4,29,1.0
Drawdown + Momentum + Volatility,3,23,1.0
Dynamics + Momentum + Returns + TailRisk + Volatility,5,58,1.0
Drawdown + Dynamics + Momentum + Returns + TailRisk + Topology + Volatility,7,63,1.0
Momentum + Returns + Volatility,3,25,1.0
Correlation + Drawdown + Dynamics + Momentum + TailRisk + Topology + Volatility,7,64,1.0
CrossAsset + Drawdown + Dynamics + Momentum,4,43,1.0
Correlation + Dynamics + Eigenvalue + Momentum + Returns + Volatility,6,68,1.0
CrossAsset + Drawdown + Dynamics + Momentum + Returns,5,48,1.0
Drawdown + Dynamics + Returns + Topology + Volatility,5,50,1.0
CrossAsset + Drawdown + Dynamics + Momentum + Topology,5,45,1.0
Drawdown + Dynamics + Returns + TailRisk + Volatility,5,54,1.0
CrossAsset + Momentum + Returns + Topology + Volatility,5,33,1.0
Correlation + CrossAsset + Momentum + Returns + Topology + Volatility,6,39,1.0
Correlation + CrossAsset + Dynamics + Returns + Topology + Volatility,6,59,1.0
Dynamics + Momentum + TailRisk,3,40,1.0
Correlation + Drawdown + Dynamics + Returns + Topology + Volatility,6,56,1.0
Correlation + Momentum + Returns + Topology + Volatility,5,33,1.0
Correlation + CrossAsset + Dynamics + Eigenvalue + Momentum + Returns + Topology + Volatility,8,76,1.0
Dynamics + Momentum + Returns + Topology + Volatility,5,54,1.0
Correlation + Dynamics + Momentum + Returns + Topology + Volatility,6,60,1.0
CrossAsset + Dynamics + Momentum + Returns + Topology + Volatility,6,60,1.0
Correlation + CrossAsset + Dynamics + Momentum + Returns + Topology + Volatility,7,66,1.0
CrossAsset + Drawdown + Dynamics + Momentum + TailRisk + Topology,6,51,1.0
Dynamics + Returns + Topology + Volatility,4,47,1.0
Correlation + Dynamics + Eigenvalue + Returns + Topology + Volatility,6,63,1.0
Drawdown + Dynamics + Momentum + Returns + Topology + Volatility,6,57,1.0
CrossAsset + Drawdown + Returns + Topology + Volatility,5,29,1.0
Momentum + Returns + TailRisk + Volatility,4,31,1.0
Correlation + CrossAsset + Eigenvalue + Momentum + Returns + Topology + Volatility,7,49,1.0
CrossAsset + Drawdown + Dynamics + Momentum + Returns + Topology + Volatility,7,63,1.0
Correlation + Dynamics + Eigenvalue + Momentum + Returns + Topology + Volatility,7,70,1.0
CrossAsset + Dynamics + Eigenvalue + Momentum + Returns + Topology + Volatility,7,70,1.0
Dynamics + Momentum + Returns + TailRisk + Topology + Volatility,6,60,1.0
CrossAsset + Dynamics + Momentum,3,40,1.0
Dynamics + Eigenvalue + Momentum + Returns + Topology + Volatility,6,64,1.0
Dynamics + Momentum + Topology + Volatility,4,49,1.0
Correlation + Dynamics + Eigenvalue + Momentum + Volatility,5,63,0.9959677419354839
Correlation + Drawdown + Dynamics + Topology + Volatility,5,51,0.9959677419354839
CrossAsset + Dynamics + Momentum + Volatility,4,53,0.9959677419354839
Correlation + CrossAsset + Drawdown + Dynamics + Momentum + Volatility,6,62,0.9959677419354839
Dynamics + Momentum + Volatility,3,47,0.9959677419354839
Drawdown + Dynamics + Topology + Volatility,4,45,0.9959677419354839
Correlation + Drawdown + Momentum + Topology + Volatility,5,31,0.9959677419354839
Correlation + CrossAsset + Dynamics + Momentum + Volatility,5,59,0.9959677419354839
Correlation + CrossAsset + Momentum + Topology + Volatility,5,34,0.9959677419354839
CrossAsset + Momentum + Topology + Volatility,4,28,0.9959677419354839
CrossAsset + Drawdown + Dynamics + Momentum + Volatility,5,56,0.9959677419354839
Correlation + CrossAsset + Drawdown + Dynamics + Topology + Volatility,6,57,0.9959677419354839
Drawdown + Dynamics + Momentum + Volatility,4,50,0.9959677419354839
Correlation + Drawdown + Dynamics + Momentum + Volatility,5,56,0.9959677419354839
Correlation + CrossAsset + Drawdown + Momentum + Volatility,5,35,0.9959677419354839
CrossAsset + Drawdown + Dynamics + Topology + Volatility,5,51,0.9959677419354839
Drawdown + Dynamics + Eigenvalue + Momentum + Returns + Topology + Volatility,7,67,0.9959677419354839
Correlation + Drawdown + Dynamics + Momentum + Returns + Topology + Volatility,7,63,0.9959677419354839
CrossAsset + Drawdown + Dynamics + Momentum + Returns + TailRisk + Volatility,7,67,0.9959677419354839
Correlation + CrossAsset + Drawdown + Dynamics + Momentum + Returns + TailRisk + Topology + Volatility,9,75,0.9959677419354839
Correlation + CrossAsset + Drawdown + Dynamics + Volatility,5,55,0.9959677419354839
CrossAsset + Drawdown + Dynamics + Volatility,4,49,0.9959677419354839
CrossAsset + Drawdown + Dynamics + Eigenvalue + Momentum + Returns + Topology + Volatility,8,73,0.9959677419354839
Correlation + CrossAsset + Drawdown + Dynamics + Eigenvalue + Momentum + Returns + Topology + Volatility,9,79,0.9959677419354839
Correlation + CrossAsset + Dynamics + Eigenvalue + Momentum + Volatility,6,69,0.9959677419354839
CrossAsset + Dynamics + Momentum + Topology + Volatility,5,55,0.9959677419354839
Correlation + CrossAsset + Dynamics + Momentum + Topology + Volatility,6,61,0.9959677419354839
Correlation + CrossAsset + Drawdown + Volatility,4,28,0.9959677419354839
CrossAsset + Momentum + Volatility,3,26,0.9959677419354839
Correlation + Drawdown + Dynamics + Momentum + Topology + Volatility,6,58,0.9959677419354839
CrossAsset + Drawdown + Dynamics + Momentum + Topology + Volatility,6,58,0.9959677419354839
CrossAsset + Dynamics + Momentum + Returns + TailRisk + Volatility,6,64,0.9959677419354839
Drawdown + Dynamics + Momentum + TailRisk,4,43,0.9959677419354839
CrossAsset + Drawdown + Dynamics + Momentum + TailRisk,5,49,0.9959677419354839
Drawdown + Dynamics + TailRisk + Topology + Volatility,5,51,0.9959677419354839
Correlation + CrossAsset + Drawdown + Dynamics + Momentum + Topology + Volatility,7,64,0.9959677419354839
CrossAsset + Drawdown + TailRisk,3,15,0.9959677419354839
CrossAsset + Drawdown + Momentum + Returns + Topology + Volatility,6,36,0.9959677419354839
Correlation + CrossAsset + Drawdown + Dynamics + Momentum + Returns + Topology + Volatility,8,69,0.9959677419354839
Drawdown + Returns + Topology + Volatility,4,23,0.9959677419354839
Dynamics + Momentum + TailRisk + Volatility,4,53,0.9959677419354839
Correlation + CrossAsset + Dynamics + Momentum + TailRisk + Volatility,6,65,0.9959677419354839
CrossAsset + Drawdown + Momentum + Returns + Volatility,5,34,0.9959677419354839
CrossAsset + Drawdown + Returns,3,14,0.9959677419354839
Correlation + CrossAsset + Drawdown + Dynamics + Momentum + TailRisk + Topology + Volatility,8,70,0.9959677419354839
Correlation + Eigenvalue + Momentum + Returns + Volatility,5,41,0.9959677419354839
CrossAsset + Eigenvalue + Momentum + Returns + Volatility,5,41,0.9959677419354839
CrossAsset + Dynamics + Momentum + TailRisk + Volatility,5,59,0.9959677419354839
Correlation + Dynamics + Momentum + TailRisk + Volatility,5,59,0.9959677419354839
Dynamics + Eigenvalue + Momentum + Returns + Volatility,5,62,0.9959677419354839
Correlation + CrossAsset + Dynamics + Eigenvalue + Momentum + Returns + Volatility,7,74,0.9959677419354839
CrossAsset + Drawdown + Dynamics + Returns + Topology + Volatility,6,56,0.9959677419354839
Dynamics + Momentum + Returns + Topology,4,41,0.9959677419354839
Correlation + CrossAsset + Drawdown + Dynamics + Momentum,5,49,0.9959677419354839
Drawdown + Dynamics + Eigenvalue + Momentum + Volatility,5,60,0.9959677419354839
Correlation + CrossAsset + Dynamics + Momentum,4,46,0.9959677419354839
Correlation + Dynamics + Momentum,3,40,0.9959677419354839
Dynamics + Momentum,2,34,0.9959677419354839
Correlation + Drawdown + Returns + Topology + Volatility,5,29,0.9959677419354839
CrossAsset + Drawdown + Dynamics + TailRisk + Volatility,5,55,0.9959677419354839
CrossAsset + Momentum,2,13,0.9959677419354839
CrossAsset + Momentum + TailRisk + Volatility,4,32,0.9959677419354839
Correlation + Dynamics + Returns + Topology + Volatility,5,53,0.9959677419354839
CrossAsset + Drawdown + Momentum + Returns + Topology,5,23,0.9959677419354839
Dynamics + Eigenvalue + Returns + Topology + Volatility,5,57,0.9959677419354839
Dynamics + Eigenvalue + Momentum + Topology,4,46,0.9959677419354839
CrossAsset + Dynamics + Eigenvalue + Momentum + Topology + Volatility,6,65,0.9959677419354839
Drawdown + Dynamics + Momentum + Returns,4,42,0.9959677419354839
Correlation + CrossAsset + Dynamics + Eigenvalue + Momentum + TailRisk + Volatility,7,75,0.9959677419354839
Correlation + CrossAsset + Drawdown + Dynamics + Momentum + Topology,6,51,0.9959677419354839
CrossAsset + Drawdown + Dynamics + Momentum + Returns + Topology,6,50,0.9959677419354839
Eigenvalue + Momentum + Returns + Topology + Volatility,5,37,0.9959677419354839
Dynamics + Eigenvalue + Returns + Volatility,4,55,0.9959677419354839
CrossAsset + Dynamics + Momentum + Topology,4,42,0.9959677419354839
CrossAsset + Drawdown + Dynamics,3,36,0.9959677419354839
CrossAsset + Drawdown + Dynamics + Momentum + TailRisk + Volatility,6,62,0.9959677419354839
Drawdown + Momentum + TailRisk + Topology,4,18,0.9919354838709677
CrossAsset + Dynamics + Momentum + TailRisk + Topology,5,48,0.9919354838709677
Correlation + CrossAsset + Dynamics + Eigenvalue + Momentum + TailRisk + Topology,7,64,0.9919354838709677
Correlation + CrossAsset + Dynamics + Momentum + Topology,5,48,0.9919354838709677
CrossAsset + Drawdown + Eigenvalue + Momentum + TailRisk + Topology,6,34,0.9919354838709677
Correlation + CrossAsset + Dynamics + Eigenvalue + Momentum + Topology,6,58,0.9919354838709677
CrossAsset + Drawdown + Momentum + Topology + Volatility,5,31,0.9919354838709677
Drawdown + Dynamics + Momentum + Topology,4,39,0.9919354838709677
Correlation + Drawdown + Dynamics + Momentum + Topology,5,45,0.9919354838709677
Correlation + CrossAsset + Momentum + TailRisk + Topology,5,27,0.9919354838709677
Correlation + CrossAsset + Drawdown + Dynamics + Momentum + TailRisk + Topology,7,57,0.9919354838709677
Correlation + CrossAsset + Dynamics + Momentum + TailRisk + Topology,6,54,0.9919354838709677
Correlation + CrossAsset + Drawdown + Eigenvalue + Momentum + Topology,6,34,0.9919354838709677
Correlation + Dynamics + Eigenvalue + Momentum + Topology,5,52,0.9919354838709677
CrossAsset + Dynamics + Eigenvalue + Momentum + Topology,5,52,0.9919354838709677
Correlation + Drawdown + Dynamics + Momentum + TailRisk + Topology,6,51,0.9919354838709677
Correlation + CrossAsset + Drawdown + Dynamics + Returns + Topology + Volatility,7,62,0.9919354838709677
CrossAsset + Drawdown + Eigenvalue + Momentum + Topology + Volatility,6,41,0.9919354838709677
CrossAsset + Dynamics + Returns + Topology + Volatility,5,53,0.9919354838709677
CrossAsset + Momentum + TailRisk + Topology,4,21,0.9919354838709677
Correlation + CrossAsset + Drawdown + Dynamics + Eigenvalue + Returns + TailRisk + Topology + Volatility,9,78,0.9919354838709677
Correlation + Drawdown + Eigenvalue + Momentum + Topology + Volatility,6,41,0.9919354838709677
Drawdown + Dynamics + TailRisk + Topology,4,38,0.9919354838709677
Correlation + CrossAsset + Eigenvalue + Momentum + Topology + Volatility,6,44,0.9919354838709677
CrossAsset + Drawdown + Dynamics + TailRisk + Topology,5,44,0.9919354838709677
Momentum + Returns + TailRisk + Topology + Volatility,5,33,0.9919354838709677
CrossAsset + Dynamics + Eigenvalue + Momentum + Returns + Topology,6,57,0.9919354838709677
Correlation + Dynamics + Eigenvalue + Momentum + Returns + Topology,6,57,0.9919354838709677
Correlation + CrossAsset + Dynamics + Eigenvalue + Momentum + Topology + Volatility,7,71,0.9919354838709677
Correlation + CrossAsset + Drawdown + Dynamics + Momentum + Returns + Topology,7,56,0.9919354838709677
Correlation + Drawdown + Dynamics + Momentum + Returns + Topology,6,50,0.9919354838709677
Correlation + CrossAsset + Dynamics + Momentum + Returns + Topology,6,53,0.9919354838709677
Correlation + CrossAsset + Drawdown + Dynamics + TailRisk + Topology,6,50,0.9919354838709677
Correlation + Drawdown + Dynamics + Eigenvalue + Returns + TailRisk + Topology + Volatility,8,72,0.9919354838709677
CrossAsset + Eigenvalue + Momentum + Topology + Volatility,5,38,0.9919354838709677
CrossAsset + Dynamics + Momentum + Returns + Topology,5,47,0.9919354838709677
Correlation + Eigenvalue + Momentum + Topology + Volatility,5,38,0.9919354838709677
Eigenvalue + Momentum + Topology + Volatility,4,32,0.9919354838709677
Correlation + CrossAsset + Momentum + Returns + Topology,5,26,0.9919354838709677
Drawdown + Returns + TailRisk + Volatility,4,27,0.9919354838709677
Correlation + Momentum + Returns + Topology,4,20,0.9919354838709677
Momentum + Returns + Topology,3,14,0.9919354838709677
Correlation + Drawdown + Dynamics + Eigenvalue + Momentum + Topology + Volatility,7,68,0.9919354838709677
CrossAsset + Drawdown + Dynamics + Eigenvalue + Momentum + Topology + Volatility,7,68,0.9919354838709677
Returns + Topology + Volatility,3,20,0.9919354838709677
Correlation + CrossAsset + Drawdown + Returns + Topology + Volatility,6,35,0.9919354838709677
Momentum + TailRisk + Topology,3,15,0.9919354838709677
CrossAsset + Drawdown + Dynamics + Eigenvalue + Momentum + Returns + Topology,7,60,0.9919354838709677
Correlation + CrossAsset + Drawdown + Dynamics + Eigenvalue + Momentum + Returns + TailRisk + Topology + Volatility,10,85,0.9919354838709677
Drawdown + Dynamics + Eigenvalue + Momentum + TailRisk + Topology,6,55,0.9919354838709677
CrossAsset + Drawdown + Dynamics + Eigenvalue + Returns + TailRisk + Volatility,7,70,0.9919354838709677
Correlation + Momentum + Returns + TailRisk + Volatility,5,37,0.9919354838709677
CrossAsset + Momentum + Returns + TailRisk + Volatility,5,37,0.9919354838709677
Correlation + CrossAsset + Momentum + Returns + TailRisk + Volatility,6,43,0.9919354838709677
Drawdown + Momentum + Returns + TailRisk + Volatility,5,34,0.9919354838709677
Correlation + CrossAsset + Drawdown + Dynamics + Eigenvalue + Momentum + Returns + Volatility,8,77,0.9919354838709677
CrossAsset + Drawdown + Dynamics + Eigenvalue + Momentum + Returns + Volatility,7,71,0.9919354838709677
Correlation + Drawdown + Dynamics + Eigenvalue + Momentum + Returns + Volatility,7,71,0.9919354838709677
Correlation + CrossAsset + Drawdown + Eigenvalue + Momentum + Returns + Volatility,7,50,0.9919354838709677
CrossAsset + Drawdown + Eigenvalue + Momentum + Returns + Volatility,6,44,0.9919354838709677
Correlation + CrossAsset + Eigenvalue + Momentum + Returns + Volatility,6,47,0.9919354838709677
Correlation + Drawdown + Momentum + Returns + Volatility,5,34,0.9919354838709677
Correlation + CrossAsset + Drawdown + Dynamics + Eigenvalue + Returns + Volatility,7,70,0.9919354838709677
CrossAsset + Drawdown + Dynamics + Eigenvalue + Returns + Volatility,6,64,0.9919354838709677
Correlation + Drawdown + Dynamics + Eigenvalue + Returns + Volatility,6,64,0.9919354838709677
Drawdown + Dynamics + Eigenvalue + Returns + Volatility,5,58,0.9919354838709677
CrossAsset + Dynamics + Eigenvalue + Returns + Volatility,5,61,0.9919354838709677
Correlation + CrossAsset + Drawdown + Eigenvalue + Returns + Volatility,6,43,0.9919354838709677
Correlation + Drawdown + Eigenvalue + Returns + Volatility,5,37,0.9919354838709677
CrossAsset + Drawdown + Momentum + Returns + TailRisk + Volatility,6,40,0.9919354838709677
Correlation + Eigenvalue + Returns + Volatility,4,34,0.9919354838709677
Correlation + CrossAsset + Drawdown + Dynamics + Returns + Volatility,6,60,0.9919354838709677
Correlation + CrossAsset + Drawdown + Dynamics + Eigenvalue + Returns + TailRisk + Volatility,8,76,0.9919354838709677
Drawdown + Dynamics + TailRisk + Volatility,4,49,0.9919354838709677
CrossAsset + Drawdown + Dynamics + Eigenvalue + Momentum + TailRisk + Topology,7,61,0.9919354838709677
Correlation + CrossAsset + Drawdown + Dynamics + TailRisk + Volatility,6,61,0.9919354838709677
CrossAsset + Drawdown + Dynamics + Eigenvalue + Momentum + TailRisk + Volatility,7,72,0.9919354838709677
Correlation + Drawdown + Dynamics + Eigenvalue + Momentum + TailRisk + Volatility,7,72,0.9919354838709677
CrossAsset + Dynamics + Eigenvalue + Momentum + TailRisk + Volatility,6,69,0.9919354838709677
Correlation + Dynamics + Eigenvalue + Momentum + TailRisk + Volatility,6,69,0.9919354838709677
Dynamics + Eigenvalue + Momentum + TailRisk + Volatility,5,63,0.9919354838709677
Correlation + CrossAsset + Drawdown + Eigenvalue + Momentum + TailRisk + Volatility,7,51,0.9919354838709677
CrossAsset + Drawdown + Eigenvalue + Momentum + TailRisk + Volatility,6,45,0.9919354838709677
Correlation + Drawdown + Eigenvalue + Momentum + TailRisk + Volatility,6,45,0.9919354838709677
Correlation + Eigenvalue + Momentum + TailRisk + Volatility,5,42,0.9919354838709677
Correlation + CrossAsset + Drawdown + Dynamics + Momentum + TailRisk + Volatility,7,68,0.9919354838709677
Correlation + Drawdown + Dynamics + Momentum + TailRisk + Volatility,6,62,0.9919354838709677
Drawdown + Dynamics + Momentum + TailRisk + Volatility,5,56,0.9919354838709677
CrossAsset + Drawdown + Momentum + TailRisk + Volatility,5,35,0.9919354838709677
Correlation + Drawdown + Momentum + TailRisk + Volatility,5,35,0.9919354838709677
Drawdown + Momentum + TailRisk + Volatility,4,29,0.9919354838709677
Dynamics + Returns + TailRisk + Volatility,4,51,0.9919354838709677
Correlation + Dynamics + Returns + TailRisk + Volatility,5,57,0.9919354838709677
Correlation + Drawdown + Dynamics + Returns + TailRisk + Topology + Volatility,7,62,0.9919354838709677
Correlation + Drawdown + Dynamics + Returns + TailRisk + Volatility,6,60,0.9919354838709677
Correlation + CrossAsset + Drawdown + Dynamics + Returns + TailRisk + Volatility,7,66,0.9919354838709677
Correlation + CrossAsset + Drawdown + Dynamics + Returns + TailRisk + Topology + Volatility,8,68,0.9919354838709677
Correlation + Drawdown + Dynamics + Returns + Volatility,5,54,0.9919354838709677
CrossAsset + Dynamics + Returns + Volatility,4,51,0.9919354838709677
Correlation + CrossAsset + Drawdown + Returns + Volatility,5,33,0.9919354838709677
Correlation + CrossAsset + Returns + Volatility,4,30,0.9919354838709677
CrossAsset + Drawdown + Eigenvalue + Momentum + Returns + TailRisk + Volatility,7,50,0.9919354838709677
Correlation + CrossAsset + Drawdown + Eigenvalue + Momentum + Returns + TailRisk + Volatility,8,56,0.9919354838709677
Dynamics + Eigenvalue + Momentum + Returns + TailRisk + Volatility,6,68,0.9919354838709677
CrossAsset + Dynamics + Eigenvalue + Momentum + Returns + TailRisk + Volatility,7,74,0.9919354838709677
Correlation + CrossAsset + Dynamics + Eigenvalue + Momentum + Returns + TailRisk + Volatility,8,80,0.9919354838709677
Drawdown + Dynamics + Eigenvalue + Momentum + Returns + TailRisk + Volatility,7,71,0.9919354838709677
Correlation + Drawdown + Dynamics + Eigenvalue + Momentum + Returns + TailRisk + Volatility,8,77,0.9919354838709677
Correlation + CrossAsset + Drawdown + Dynamics + Momentum + Returns + TailRisk + Topology,8,62,0.9919354838709677
CrossAsset + Drawdown + Dynamics + Eigenvalue + Momentum + Returns + TailRisk + Volatility,8,77,0.9919354838709677
Correlation + CrossAsset + Dynamics + Momentum + Returns + TailRisk + Topology,7,59,0.9919354838709677
CrossAsset + Dynamics + Momentum + Returns + TailRisk + Topology,6,53,0.9919354838709677
CrossAsset + Drawdown + Momentum + Returns + TailRisk + Topology,6,29,0.9919354838709677
Drawdown + Momentum + Returns + TailRisk + Topology,5,23,0.9919354838709677
CrossAsset + Drawdown + Returns + TailRisk + Topology + Volatility,6,35,0.9919354838709677
Correlation + CrossAsset + Drawdown + Dynamics + Eigenvalue + Momentum + Returns + TailRisk + Volatility,9,83,0.9919354838709677
Drawdown + Dynamics + Returns + TailRisk + Topology + Volatility,6,56,0.9919354838709677
CrossAsset + Dynamics + Returns + TailRisk + Topology + Volatility,6,59,0.9919354838709677
CrossAsset + Drawdown + Dynamics + Returns + TailRisk + Topology,6,49,0.9919354838709677
CrossAsset + Drawdown + Dynamics + Eigenvalue + Topology + Volatility,6,61,0.9919354838709677
Momentum + Topology + Volatility,3,22,0.9919354838709677
Correlation + Momentum + Topology + Volatility,4,28,0.9919354838709677
Drawdown + Eigenvalue + Momentum + Returns + TailRisk + Volatility,6,44,0.9919354838709677
Correlation + CrossAsset + Eigenvalue + Momentum + Returns + TailRisk + Volatility,7,53,0.9919354838709677
Correlation + Drawdown + Dynamics + Volatility,4,49,0.9919354838709677
Correlation + CrossAsset + Momentum + Volatility,4,32,0.9919354838709677
Returns + Volatility,2,18,0.9919354838709677
Correlation + CrossAsset + Drawdown + Dynamics + Eigenvalue + Momentum + Volatility,7,72,0.9919354838709677
Correlation + Drawdown + Dynamics + Eigenvalue + Momentum + Volatility,6,66,0.9919354838709677
CrossAsset + Dynamics + Eigenvalue + Momentum + Volatility,5,63,0.9919354838709677
Dynamics + Eigenvalue + Momentum + Volatility,4,57,0.9919354838709677
Correlation + Drawdown + Eigenvalue + Momentum + Volatility,5,39,0.9919354838709677
Drawdown + Eigenvalue + Momentum + Volatility,4,33,0.9919354838709677
Correlation + CrossAsset + Eigenvalue + Momentum + Volatility,5,42,0.9919354838709677
CrossAsset + Eigenvalue + Momentum + Volatility,4,36,0.9919354838709677
Correlation + Momentum + Volatility,3,26,0.9919354838709677
CrossAsset + Eigenvalue + Momentum + Returns + TailRisk + Volatility,6,47,0.9919354838709677
Momentum + Volatility,2,20,0.9919354838709677
CrossAsset + Drawdown + Dynamics + Eigenvalue + Volatility,5,59,0.9919354838709677
Correlation + CrossAsset + Drawdown + Momentum + Returns + TailRisk + Volatility,7,46,0.9919354838709677
Correlation + Dynamics + Momentum + Returns + TailRisk + Volatility,6,64,0.9919354838709677
Correlation + CrossAsset + Dynamics + Momentum + Returns + TailRisk + Volatility,7,70,0.9919354838709677
Drawdown + Dynamics + Momentum + Returns + TailRisk + Volatility,6,61,0.9919354838709677
Correlation + Drawdown + Dynamics + Momentum + Returns + TailRisk + Volatility,7,67,0.9919354838709677
Correlation + CrossAsset + Drawdown + Dynamics + Momentum + Returns + TailRisk + Volatility,8,73,0.9919354838709677
Eigenvalue + Momentum + Returns + TailRisk + Volatility,5,41,0.9919354838709677
Correlation + Eigenvalue + Momentum + Returns + TailRisk + Volatility,6,47,0.9919354838709677
CrossAsset + Momentum + Returns + Topology,4,20,0.9919354838709677
Correlation + CrossAsset + Drawdown + Momentum + Topology,5,24,0.9919354838709677
CrossAsset + Momentum + TailRisk + Topology + Volatility,5,34,0.9919354838709677
Correlation + CrossAsset + Dynamics + Momentum + Returns,5,51,0.9919354838709677
Correlation + Dynamics + Momentum + Returns,4,45,0.9919354838709677
Dynamics + Momentum + Returns,3,39,0.9919354838709677
CrossAsset + Momentum + Returns + TailRisk,4,24,0.9919354838709677
Drawdown + Momentum + Returns + TailRisk,4,21,0.9919354838709677
Correlation + CrossAsset + Momentum + Returns,4,24,0.9919354838709677
CrossAsset + Momentum + Returns,3,18,0.9919354838709677
Dynamics + Momentum + Returns + TailRisk,4,45,0.9919354838709677
Correlation + CrossAsset + Momentum + TailRisk + Topology + Volatility,6,40,0.9919354838709677
Correlation + Drawdown + Dynamics + Momentum + Returns + TailRisk,6,54,0.9919354838709677
CrossAsset + Drawdown + Dynamics + Momentum + Returns + TailRisk,6,54,0.9919354838709677
CrossAsset + Drawdown + Momentum + TailRisk + Topology + Volatility,6,37,0.9919354838709677
Correlation + CrossAsset + Drawdown + Momentum + TailRisk + Topology + Volatility,7,43,0.9919354838709677
Dynamics + Momentum + TailRisk + Topology + Volatility,5,55,0.9919354838709677
Correlation + Dynamics + Momentum + TailRisk + Topology + Volatility,6,61,0.9919354838709677
Correlation + CrossAsset + Dynamics + Momentum + TailRisk + Topology + Volatility,7,67,0.9919354838709677
CrossAsset + Drawdown + Eigenvalue + Momentum + TailRisk,5,32,0.9919354838709677
Drawdown + Dynamics + Momentum + TailRisk + Topology + Volatility,6,58,0.9919354838709677
CrossAsset + Drawdown + Dynamics + Returns,4,41,0.9919354838709677
CrossAsset + Drawdown + Dynamics + Momentum + TailRisk + Topology + Volatility,7,64,0.9919354838709677
CrossAsset + Drawdown + Dynamics + Eigenvalue + Returns + Topology + Volatility,7,66,0.9919354838709677
Eigenvalue + Momentum + TailRisk + Topology + Volatility,5,38,0.9919354838709677
CrossAsset + Eigenvalue + Momentum + TailRisk + Topology + Volatility,6,44,0.9919354838709677
Correlation + CrossAsset + Eigenvalue + Momentum + TailRisk + Topology + Volatility,7,50,0.9919354838709677
CrossAsset + Drawdown + Dynamics + Eigenvalue + Momentum,5,53,0.9919354838709677
Drawdown + Dynamics + Eigenvalue + Momentum,4,47,0.9919354838709677
Correlation + CrossAsset + Dynamics + Eigenvalue + Momentum,5,56,0.9919354838709677
Drawdown + Dynamics + Eigenvalue + Momentum + Returns + TailRisk,6,58,0.9919354838709677
CrossAsset + Dynamics + Eigenvalue + Momentum,4,50,0.9919354838709677
Drawdown + Momentum + Returns + Topology + Volatility,5,30,0.9919354838709677
Correlation + CrossAsset + Eigenvalue + Momentum + Returns,5,34,0.9919354838709677
CrossAsset + Drawdown + Dynamics + Eigenvalue + Momentum + Returns + TailRisk,7,64,0.9919354838709677
Momentum + TailRisk + Topology + Volatility,4,28,0.9919354838709677
Correlation + CrossAsset + Drawdown + Dynamics + Momentum + TailRisk,6,55,0.9919354838709677
Correlation + CrossAsset + Drawdown + Eigenvalue + Momentum + TailRisk,6,38,0.9919354838709677
